I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
234, 258, 24, -246, 104, 141, -73, 453, 283, 380, 297, 239, 
234, 258, 24, -246, 104, 141, -97, 405, 263, 370, 297, 239, 
229, 248, 19, -239, 104, 134, -112, 356, 239, 356, 292, 239, 
224, 253, 29, -239, 97, 141, -122, 312, 214, 336, 283, 229, 
209, 248, 39, -229, 85, 143, -122, 268, 195, 326, 278, 224, 
200, 234, 34, -217, 82, 134, -131, 234, 175, 307, 258, 204, 
190, 234, 43, -212, 73, 139, -136, 195, 161, 287, 244, 200, 
170, 209, 39, -190, 65, 124, -136, 165, 136, 258, 224, 185, 
156, 195, 39, -175, 58, 117, -136, 131, 122, 244, 209, 175, 
141, 180, 39, -161, 51, 109, -136, 97, 97, 204, 185, 146, 
126, 165, 39, -146, 43, 102, -131, 68, 73, 170, 161, 117, 
107, 151, 43, -129, 31, 97, -126, 39, 63, 161, 141, 107, 
87, 141, 53, -114, 17, 97, -122, 14, 48, 156, 131, 87, 
78, 126, 48, -102, 14, 87, -112, -9, 43, 146, 117, 78, 
63, 112, 48, -87, 7, 80, -102, -14, 43, 141, 107, 73, 
48, 102, 53, -75, -2, 78, -92, -29, 39, 122, 97, 63, 
43, 97, 53, -70, -4, 75, -92, -39, 29, 117, 97, 58, 
39, 92, 53, -65, -7, 73, -87, -48, 19, 107, 82, 39, 
29, 87, 58, -58, -14, 73, -82, -58, 14, 97, 73, 39, 
29, 78, 48, -53, -9, 63, -73, -58, 9, 87, 68, 39, 
24, 78, 53, -51, -14, 65, -63, -58, 4, 87, 68, 39, 
19, 63, 43, -41, -12, 53, -53, -58, 4, 73, 53, 34, 
14, 48, 34, -31, -9, 41, -48, -58, 4, 73, 48, 29, 
9, 43, 34, -26, -12, 39, -43, -53, 0, 73, 53, 29, 
9, 43, 34, -26, -12, 39, -39, -48, 0, 73, 53, 24, 
9, 43, 34, -26, -12, 39, -34, -48, -4, 68, 53, 24, 
9, 48, 39, -29, -14, 43, -29, -48, -9, 68, 53, 19, 
9, 48, 39, -29, -14, 43, -29, -53, -9, 68, 48, 14, 
9, 48, 39, -29, -14, 43, -34, -53, -9, 68, 48, 14, 
4, 53, 48, -29, -21, 51, -29, -53, -9, 68, 48, 9, 
4, 58, 53, -31, -24, 56, -29, -43, -4, 68, 48, 4, 
