I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, X, Y, Z
-146,-126,19,136,-82,-53,200,161,9,-53,-78,-136,-146,-82,-102
-151,-122,29,136,-90,-46,200,161,9,-48,-78,-136,-146,-82,-102
-151,-122,29,136,-90,-46,200,165,19,-48,-73,-136,-146,-78,-107
-151,-126,24,139,-87,-51,200,170,29,-43,-73,-141,-146,-73,-107
-151,-126,24,139,-87,-51,200,170,29,-43,-73,-141,-146,-78,-107
-151,-126,24,139,-87,-51,204,175,34,-43,-68,-141,-146,-78,-107
-151,-126,24,139,-87,-51,204,175,34,-34,-63,-136,-151,-78,-112
-151,-126,24,139,-87,-51,204,180,39,-29,-58,-136,-151,-78,-112
-151,-122,29,136,-90,-46,209,185,48,-24,-53,-131,-146,-78,-117
-151,-122,29,136,-90,-46,209,185,53,-24,-48,-131,-146,-78,-117
-151,-122,29,136,-90,-46,209,190,58,-19,-43,-126,-146,-78,-122
-151,-122,29,136,-90,-46,209,195,68,-9,-39,-126,-146,-78,-122
-151,-122,29,136,-90,-46,209,195,78,0,-29,-126,-141,-78,-126
-146,-122,24,134,-85,-48,209,204,82,9,-19,-117,-131,-78,-131
-146,-122,24,134,-85,-48,209,209,92,19,-9,-122,-126,-82,-131
-151,-122,29,136,-90,-46,209,219,102,34,4,-117,-122,-87,-136
-151,-117,34,134,-92,-41,209,229,117,48,9,-107,-117,-87,-141
-151,-117,34,134,-92,-41,209,239,136,63,19,-102,-107,-87,-146
-146,-117,29,131,-87,-43,209,244,146,78,39,-92,-102,-82,-156
-146,-117,29,131,-87,-43,209,248,165,97,48,-82,-92,-78,-161
-141,-112,29,126,-85,-41,214,258,180,122,73,-73,-82,-78,-165
-136,-107,29,122,-82,-39,214,268,204,141,97,-63,-68,-73,-170
-131,-107,24,119,-78,-41,214,278,229,170,122,-43,-53,-73,-180
-126,-107,19,117,-73,-43,214,292,253,200,151,-24,-39,-73,-190
-122,-97,24,109,-73,-36,219,302,287,234,185,-4,-19,-73,-200
-117,-97,19,107,-68,-39,224,322,326,273,224,14,0,-73,-219
-107,-92,14,100,-61,-39,229,341,366,317,268,39,29,-63,-229
-102,-92,9,97,-56,-41,234,361,405,366,312,63,58,-53,-244
-92,-82,9,87,-51,-36,234,380,458,414,366,87,82,-53,-263
-87,-68,19,78,-53,-24,234,400,512,478,429,117,112,-43,-273
-78,-53,24,65,-51,-14,234,429,585,541,488,161,156,-43,-292
-68,-43,24,56,-46,-9,239,453,649,610,561,204,195,-29,-312
-53,-34,19,43,-36,-7,239,488,702,688,629,244,239,-29,-336
-39,-24,14,31,-26,-4,239,517,775,761,702,283,278,-24,-361
-14,-14,0,14,-7,-7,239,541,849,839,780,331,326,-24,-375
0,0,0,0,0,0,239,566,917,907,854,375,370,-9,-395
14,19,4,-17,4,12,229,585,976,980,922,424,414,0,-409
34,34,0,-34,17,17,219,595,1024,1034,985,463,453,9,-424
43,53,9,-48,17,31,209,610,1073,1083,1034,497,492,14,-434
68,63,-4,-65,36,29,200,619,1098,1117,1063,527,517,34,-439
78,82,4,-80,36,43,185,619,1102,1122,1068,541,531,43,-439
82,92,9,-87,36,51,175,614,1098,1112,1068,546,536,48,-434
92,97,4,-95,43,51,161,585,1054,1063,1024,531,527,53,-409
97,107,9,-102,43,58,146,541,976,990,951,502,497,58,-380
97,107,9,-102,43,58,131,483,883,888,854,463,448,63,-346
92,107,14,-100,39,61,112,414,780,775,751,409,390,58,-302
82,107,24,-95,29,65,92,361,673,658,639,356,336,58,-263
82,102,19,-92,31,61,73,278,546,531,517,297,278,58,-219
63,87,24,-75,19,56,53,214,419,405,395,229,209,58,-180
48,73,24,-61,12,48,43,161,317,312,297,170,161,53,-141
29,63,34,-46,-2,48,39,112,239,219,214,122,107,48,-112
19,53,34,-36,-7,43,39,82,161,141,136,78,53,34,-92
4,43,39,-24,-17,41,34,39,87,68,68,34,14,24,-68
-9,29,39,-9,-24,34,24,14,34,19,24,0,-19,19,-58
-19,19,39,0,-29,29,24,0,4,-14,-9,-34,-39,9,-48
-29,4,34,12,-31,19,19,-9,-24,-48,-48,-48,-53,9,-39
-34,-4,29,19,-31,12,19,-24,-53,-82,-82,-58,-68,9,-29
-34,-9,24,21,-29,7,24,-34,-68,-102,-102,-78,-78,4,-19
